counterpart_name,entity_name,category,value,value_annotation
Cayman Islands,Low & middle income,private,3417928721.4,US$3.4 billion
Greece,Low & middle income,private,8215000.0,US$8.2 million
Greece,Low & middle income,bilateral,96793590.2,US$96.8 million
Switzerland,Low & middle income,private,4708981951.2,US$4.7 billion
Tanzania,Low & middle income,bilateral,35157000.0,US$35.2 million
Italy,Low & middle income,bilateral,3089522956.9,US$3.1 billion
Italy,Low & middle income,private,3002909180.3,US$3.0 billion
Belgium,Low & middle income,private,1409589776.8999999,US$1.4 billion
Belgium,Low & middle income,bilateral,638552640.4,US$638.6 million
Equatorial Guinea,Low & middle income,bilateral,30092063.9,US$30.1 million
Arab Bank for Economic Dev. in Africa (BADEA),Low & middle income,multilateral,2270352969.1,US$2.3 billion
Arab Bank for Economic Dev. in Africa (BADEA),Low & middle income,private,0.0,US$0
Nigeria,Low & middle income,bilateral,11293290.3,US$11.3 million
Grenada,Low & middle income,private,0.0,US$0
Eurasian Development Bank,Low & middle income,multilateral,2479891164.4,US$2.5 billion
New Development Bank (NDB),Low & middle income,multilateral,10697646350.0,US$10.7 billion
European Bank for Reconstruction and Dev. (EBRD),Low & middle income,multilateral,10607739683.8,US$10.6 billion
Netherlands,Low & middle income,private,74757580724.6,US$74.8 billion
Netherlands,Low & middle income,bilateral,591238370.1,US$591.2 million
Viet Nam,Low & middle income,bilateral,121641000.0,US$121.6 million
European Development Fund (EDF),Low & middle income,multilateral,914854774.0,US$914.9 million
"Venezuela, Republic Bolivarian",Low & middle income,bilateral,665341259.3,US$665.3 million
Thailand,Low & middle income,bilateral,757776063.4,US$757.8 million
Thailand,Low & middle income,private,12647000.0,US$12.6 million
Belarus,Low & middle income,bilateral,35093315.2,US$35.1 million
Togo,Low & middle income,private,46533412.7,US$46.5 million
Namibia,Low & middle income,bilateral,1146769.0,US$1.1 million
West African Development Bank - BOAD,Low & middle income,multilateral,2838280334.0,US$2.8 billion
Guyana,Low & middle income,private,948000.0,"US$948,000"
Switzerland,Low & middle income,bilateral,290319051.3,US$290.3 million
Honduras,Low & middle income,bilateral,118637000.0,US$118.6 million
Czechia,Low & middle income,private,476295188.7,US$476.3 million
St. Lucia,Low & middle income,private,336296.3,"US$336,296"
Denmark,Low & middle income,bilateral,517853181.1,US$517.9 million
Israel,Low & middle income,bilateral,2996815.4,US$3.0 million
Israel,Low & middle income,private,4250194271.7,US$4.3 billion
Denmark,Low & middle income,private,361592093.8,US$361.6 million
